ID,Label,Edits,Interest in History,Interest in Topic,Education in History,Experience
1,chris,266,3,1,2,3
2,Djr13,3,3,3,3,1
3,Czar,2,1,1,3,3
4,2600:1004:B141:CAF2:6530:6E54:D996:9333,2,1,1,3,1
5,Mdd,2,3,1,3,1
6,2A02:FE0:C600:1:41EE:9D9F:4926:8296,1,3,3,3,1
7,Warrenjs1,1,3,1,3,3
8,MJL,1,3,1,3,3
9,Edward,1,3,3,3,1
10,Download,1,3,3,3,1
11,?,1,3,3,3,3
12,Freeknowledgecreator,1,3,3,3,1
13,Chris the speller,1,2,2,3,1
14,Nick Number,1,2,2,3,1
15,Mitch Ames,1,3,3,3,3
16,InternetArchiveBot,1,3,3,3,3
17,Armbrust,1,3,3,2,1
18,Sfan00 IMG,1,3,3,3,3
19,OgreBot,1,3,3,3,3
20,Sadads,1,2,2,3,1
21,207.232.97.13,101,3,1,3,1
22,207.194.108.93,98,3,1,3,1
23,Sguardo,53,3,3,3,3
24,Bikinibomb,47,3,3,3,3
25,MisterAlbert,45,3,3,3,3
26,Scarpy,32,3,1,3,1
27,Fred Woofy,20,3,3,3,3
28,71.194.194.3,15,3,3,3,2
29,Mr Miles,15,3,3,1,3
30,Wikiklrsc,13,3,3,3,1
31,Fko,13,3,3,3,2
32,99.185.77.228,12,3,3,3,1
33,Rose bartram,12,3,3,3,3
34,Davidmack,10,3,1,3,3
35,SynedG,10,3,1,3,1
36,QuizzicalBee,8,3,3,3,1
37,24.94.69.35,7,3,1,3,2
38,64.56.230.40,7,3,3,3,2
39,Coffeepusher,6,3,3,3,1
40,Bookoflove,5,3,3,3,3
41,Signaleer,12,3,1,3,1
42,The howling cow,8,1,1,1,1
43,Billmckern,4,1,1,1,1
44,Bender the Bot,2,3,3,3,3
45,Noclador,2,1,1,3,1
46,Enthusiast01,2,3,3,3,3
47,KConWiki,2,3,3,3,3
48,Jon Kolbert,2,3,3,3,3
49,KolbertBot,2,3,3,3,3
50,Monkbot,2,3,3,3,3
51,2600:1702:1070:97F0:317D:876:162A:25AA,2,3,3,3,2
16,InternetArchiveBot,2,3,3,3,3
53,Altadenabandgeek,2,3,3,3,1
54,GreenC bot,1,3,3,3,3
55,68.144.213.204,1,3,3,3,2
56,RA0808,1,3,3,2,1
57,Freezingwedge,1,3,3,3,1
58,2601:89:C601:1FC:CB0:D3C7:830E:36C0,1,3,3,3,2
59,Cnwilliams,1,3,3,3,1
60,DatGuy,1,3,3,3,1
61,2601:8:B000:885:A98D:90D7:4D3A:6DCA,13,3,3,3,2
62,DM7,10,3,3,3,3
63,Dialectric,9,3,3,3,1
64,73.19.120.246,7,3,3,3,2
65,CollegeMeltdown,7,3,3,3,3
66,Dennis Bratland,6,3,1,3,1
67,ElKevbo,4,3,1,3,1
68,Mmartel5412,4,3,3,3,3
69,Srich32977,3,3,3,3,1
70,Travisl,3,2,3,2,1
71,Cydebot,3,3,3,3,3
72,Merchbow,3,3,3,3,3
73,The Anomebot2,2,3,3,3,3
74,Guy1890,2,3,3,3,1
75,GrahamHardy,2,2,2,2,1
76,AlexTheMartian,2,3,1,2,1
77,AnomieBOT,2,3,3,3,3
78,63.231.26.142,2,3,3,3,1
79,12.98.232.162,2,3,3,3,1
80,Naraht,2,3,3,2,1
81,Gadget850,61,1,1,3,1
82,Rlevse,52,1,1,3,1
83,Kintetsubuffalo,29,1,1,3,1
84,Evrik,22,3,1,3,1
85,GCW50,13,3,3,3,3
86,Vanisheduser00348374562342,12,3,3,3,3
87,Btphelps,12,3,1,3,3
88,Jphill19,10,3,3,3,3
89,Mokgamen,9,3,1,3,1
90,ClueBot NG,9,3,3,3,3
91,Jagz,9,3,3,3,3
92,Bduke,9,1,1,3,1
93,NThurston,6,2,1,2,1
94,69.62.198.96,6,3,3,3,2
95,Krassotkin,5,3,3,3,1
96,Rklawton,5,3,3,2,1
97,Philly jawn,4,3,1,3,1
98,216.218.96.126,4,3,3,3,1
99,2600:6C48:667F:F066:D118:2267:AC7C:2F06,4,3,3,3,2
100,Jdurbach,4,3,1,3,1
101,Strr34,7,3,1,3,1
102,79.23.3.49,5,3,1,3,1
103,Mundopopular,4,3,1,3,1
104,76.31.10.27,4,3,1,3,1
105,Dogru144,4,3,3,3,1
106,2601:18D:8800:1EF4:483E:1CFD:A7D1:DF6A,4,3,3,3,2
107,Dimadick,3,1,1,3,1
108,Tim!,2,1,1,3,1
109,2600:1017:B806:7DCE:BB09:2824:D175:D3C5,2,3,3,3,2
110,Noleander,2,3,1,3,1
49,KolbertBot,2,3,3,3,3
16,InternetArchiveBot,2,3,3,3,3
12,Freeknowledgecreator,2,3,3,3,1
114,Hmains,2,1,1,3,1
115,Timdwilliamson,1,1,1,2,1
116,Arjayay,1,3,3,3,3
117,Tom.Reding,1,3,3,2,1
118,Larrykoen,1,1,1,2,1
119,174.255.4.252,1,3,3,3,2
120,HyxelPixel,1,3,3,3,3
121,Rjensen,328,1,1,1,1
122,Settler,222,1,1,3,1
123,AHC300,163,3,3,3,1
124,Arglebargle79,45,3,1,3,1
90,ClueBot NG,44,3,3,3,3
126,Griot~enwiki,42,3,3,3,3
127,98.221.101.39,25,3,3,3,1
128,RedHotPear,22,3,3,3,3
107,Dimadick,18,1,1,3,1
130,SunCrow,17,3,1,3,1
131,North Shoreman,17,1,1,3,1
132,Tech77,15,1,1,3,3
133,Objective3000,12,3,3,3,1
134,2600:1003:B860:13BB:5080:9183:9185:467,11,3,3,3,2
135,StalwartGrantist,11,1,1,3,1
69,Srich32977,11,3,3,3,1
137,79.40.221.213,10,1,1,3,1
138,C.J. Griffin,10,1,1,1,1
139,MrKing84,9,3,3,3,3
140,169.156.4.52,9,3,3,3,1
16,InternetArchiveBot,3,3,3,3,3
50,Monkbot,3,3,3,3,3
143,Dylan38,2,3,3,3,1
144,GÃ¼nniX,2,3,3,3,1
108,Tim!,2,1,1,3,1
146,107.145.194.245,2,3,3,3,2
147,79.20.190.182,2,3,3,3,1
148,Rjwilmsi,2,1,1,3,1
149,40.134.236.131,2,3,3,3,1
69,Srich32977,2,3,3,3,1
151,Antony-22,2,2,1,2,1
49,KolbertBot,2,3,3,3,3
153,98.1.108.126,2,3,3,3,2
154,Oceanflynn,2,3,3,3,1
155,205.215.175.138,2,3,3,3,1
156,76.233.206.181,1,3,3,3,2
157,49.150.86.183,1,3,3,3,2
158,Wikiturrican,1,3,3,3,1
159,2603:6011:6143:2200:4510:515F:EBA5:CBF1,1,3,3,3,2
160,Helpful Pixie Bot,1,3,3,3,3
161,Hike395,8,2,1,3,1
162,Cornbreadearl,4,3,3,3,3
163,174.131.125.177,4,3,3,3,2
164,DASonnenfeld,4,2,1,2,1
90,ClueBot NG,3,3,3,3,3
166,216.56.12.146,3,3,3,3,1
167,JuniperisCommunis,3,3,3,3,1
168,Diannaa,2,1,1,3,1
169,CutOffTies,2,3,3,3,3
170,68.185.135.12,2,3,3,3,2
171,Schencktopus,2,3,1,3,1
172,205.202.43.161,2,3,3,3,2
173,Buaidh,2,1,1,2,1
50,Monkbot,2,3,3,3,3
175,170.185.199.19,1,3,3,3,1
176,137.165.165.206,1,3,3,3,2
177,Airplaneman,1,3,3,3,2
178,108.56.198.43,1,3,3,3,2
179,Citation bot,1,3,3,3,3
117,Tom.Reding,1,3,3,2,1
181,Mfeinstein,72,3,1,3,1
182,Deirdre~enwiki,27,3,1,3,1
183,The Banner,22,3,3,3,1
77,AnomieBOT,10,3,3,3,3
185,ID man12 ID,8,3,3,3,1
186,WikiA2K,7,3,3,3,2
187,Namiba,7,3,3,3,1
188,Highground79,7,3,3,3,3
189,Bgwhite,5,3,3,3,3
190,Timrollpickering,4,1,1,1,1
191,Chisme,4,3,3,3,1
192,Toussaint,4,3,1,3,1
16,InternetArchiveBot,3,3,3,3,3
194,165.29.113.253,3,3,3,3,1
195,Kaihsu,3,3,3,3,3
196,151.197.245.15,3,3,1,3,2
90,ClueBot NG,3,3,3,3,3
198,BG19bot,3,3,3,3,3
199,208.108.165.254,3,3,3,3,1
200,WikiWikinger,2,3,3,3,3
201,Gaarmyvet,5,1,1,3,1
202,Fury 1991,5,3,1,2,1
77,AnomieBOT,4,3,3,3,3
44,Bender the Bot,3,3,3,3,3
205,Dash77,2,3,2,2,1
50,Monkbot,2,3,3,3,3
16,InternetArchiveBot,2,3,3,3,3
208,Enterlousy,2,3,3,3,2
209,CommonsDelinker,2,3,3,3,3
210,McChizzle,2,3,1,3,1
45,Noclador,2,3,3,3,3
54,GreenC bot,2,3,3,3,3
213,2603:9000:9907:1100:FDE8:C826:575B:E053,2,3,3,3,2
214,Brenont,1,3,3,2,1
215,Illegitimate Barrister,1,1,1,3,1
216,Dexbot,1,3,3,3,3
217,98.30.22.105,1,3,3,3,2
218,Filedelinkerbot,1,3,3,3,3
219,Gaius Cornelius,1,3,3,3,1
220,Klbrain,1,2,2,3,1
221,Hourick,147,3,1,3,1
222,EvanCarroll,9,3,1,3,1
223,73.255.116.241,6,3,3,3,1
16,InternetArchiveBot,5,3,3,3,3
225,69.151.246.0,5,3,3,3,2
226,RJN,5,3,1,3,1
54,GreenC bot,5,3,3,3,3
71,Cydebot,4,3,3,3,3
229,Niteshift36,4,3,1,3,1
230,SmackBot,4,3,3,3,3
231,Yosupdude879,3,3,3,3,3
232,Comstone,3,3,3,3,3
233,70.240.94.91,3,3,3,3,2
13,Chris the speller,3,2,2,3,1
235,Postoak,3,3,3,3,3
236,Mild Bill Hiccup,3,3,3,3,1
237,98.196.139.190,3,3,1,3,1
238,John of Reading,3,3,3,3,1
148,Rjwilmsi,3,1,1,3,1
240,71.205.116.236,3,3,3,3,1
241,74.161.129.172,12,3,3,3,2
242,Deturtlemon1,7,1,1,3,1
243,69.153.193.164,6,3,3,3,1
244,Mmortal03,5,3,3,3,3
69,Srich32977,4,3,3,3,1
246,JayJasper,3,3,1,3,1
247,216.56.2.249,3,3,3,3,1
108,Tim!,2,1,1,3,1
249,Carolmooredc,2,3,1,3,1
250,Puppybrown,2,3,3,3,3
251,65.115.61.252,2,3,3,3,1
252,Sovper,2,3,3,3,1
253,198.140.4.205,2,3,3,3,1
16,InternetArchiveBot,2,3,3,3,3
255,71.195.4.41,2,3,3,3,2
256,GoingBatty,2,3,3,3,1
257,Anarchist42,2,3,1,3,1
258,Caduon,2,3,3,3,3
90,ClueBot NG,2,3,3,3,3
260,140.32.111.75,2,3,3,3,1
261,Fettlemap,10,1,1,3,1
262,Asiaticus,7,1,1,3,1
263,Roberticus,6,3,3,3,1
264,172.4.231.85,5,3,3,3,2
265,23.233.26.45,4,3,3,3,2
266,JMRAMOS0109,4,3,1,3,1
71,Cydebot,4,3,3,3,3
215,Illegitimate Barrister,3,1,1,3,1
269,Solbash,3,3,3,3,3
270,Derek R Bullamore,3,1,1,3,1
271,DocWatson42,3,3,3,3,1
272,Jahnx,3,3,3,3,1
273,2602:306:C5B4:E3D0:702D:9DB0:3872:F9F3,3,3,3,3,2
274,Will Beback,3,3,1,3,1
275,Fayenatic london,2,2,1,3,1
276,BeenAroundAWhile,2,3,3,3,1
277,Nwbeeson,2,1,1,2,1
278,108.13.78.229,2,3,1,3,1
279,Eastlaw,2,3,1,3,1
280,24.9.30.109,2,3,3,3,2
281,Reify-tech,11,3,1,3,1
282,The PIPE,11,3,3,3,1
283,CommonKnowledgeCreator,10,3,3,3,1
284,Pi.1415926535,9,3,1,3,1
285,Dicklyon,8,2,2,2,1
286,Renamed user 8j-Z%nKkVr,7,3,3,3,3
30,Wikiklrsc,6,3,1,3,1
288,Whoop whoop pull up,6,1,1,3,1
289,FFM784,6,3,1,3,3
290,Epicgenius,5,2,1,2,1
16,InternetArchiveBot,4,3,3,3,3
292,Knowledgekid87,3,3,3,3,1
50,Monkbot,3,3,3,3,3
294,DumZiBoT,2,3,3,3,3
108,Tim!,2,1,1,3,1
296,Lentower,2,3,3,3,3
297,BostonUrbEx,2,2,1,2,1
298,2601:143:8003:75F0:4C07:849C:F9CE:1658,2,3,1,3,1
299,96.233.106.31,2,3,3,3,2
44,Bender the Bot,2,3,3,3,3
301,Chris Light,122,1,1,3,1
302,Daveyk1,18,3,3,3,3
303,Ataraxy22,8,3,1,3,1
304,Reywas92,7,3,1,3,1
305,Mike Cline,6,1,1,3,1
306,Ground Zero,6,3,3,3,1
307,76.203.203.180,5,3,3,3,2
308,KingJeff1970,5,1,1,1,1
309,Pistongrinder,5,3,1,3,1
114,Hmains,4,1,1,3,1
311,165.83.133.248,3,3,1,3,1
312,BD2412,3,3,1,3,1
313,Woohookitty,3,3,3,3,1
314,Dscribe,3,3,3,3,3
315,Frietjes,3,3,3,3,1
173,Buaidh,3,1,1,2,1
317,Floridasand,3,3,3,3,1
318,75.41.110.200,3,3,3,3,1
90,ClueBot NG,3,3,3,3,3
320,129.19.1.10,3,3,3,3,1
321,IvoShandor,21,1,1,3,1
322,Ragityman,6,3,3,3,3
323,General George Marshall,4,3,3,3,3
324,Elkman,2,1,1,3,1
108,Tim!,2,1,1,3,1
326,Uziel302,1,3,3,3,1
327,SJ Morg,1,3,3,3,1
71,Cydebot,1,3,3,3,3
329,72.174.188.32,1,3,3,3,2
330,Krelnik,1,1,1,3,1
331,Yobot,1,3,3,3,3
332,Eoghanacht,1,3,1,3,1
333,2804:D55:52B7:6A00:715C:111D:1991:8993,1,3,3,3,2
334,220.237.138.226,1,3,3,3,2
335,Nv8200pa,1,3,3,3,3
49,KolbertBot,1,3,3,3,3
337,Rich Farmbrough,1,3,3,3,1
338,Vrysxy,1,3,3,3,1
339,Ebyabe,1,1,1,3,1
340,Thegreatluigi,1,3,3,3,1
341,Pattonnh,78,3,1,3,1
342,66.104.196.194,10,3,1,3,1
108,Tim!,2,1,1,3,1
306,Ground Zero,2,3,3,3,1
345,Tassedethe,1,3,3,3,3
346,Brholden,1,1,1,3,1
347,WOSlinker,1,3,3,3,1
348,Bob Burkhardt,1,3,3,3,1
349,MrLinkinPark333,1,3,3,3,1
198,BG19bot,1,3,3,3,3
351,Sophus Bie,1,3,3,3,1
352,Jim.henderson,1,1,1,3,1
353,Amicus B.,1,3,3,3,3
354,Tesscass,1,3,3,3,1
355,Wiki-uk,1,3,3,3,1
356,Magic links bot,1,3,3,3,3
357,JustAGal,1,3,3,3,3
358,RajkGuj,1,3,3,3,1
359,Jmg38,1,3,3,3,1
360,Michael Hardy,1,2,2,2,1
361,Higher Ground 1,46,3,3,3,1
362,Chitt66,27,3,3,3,1
363,Mkshane039,15,3,3,3,1
364,Beyond My Ken,8,3,3,3,3
365,120.28.242.145,7,3,3,3,2
16,InternetArchiveBot,7,3,3,3,3
367,Tommy Gao,7,3,3,3,1
368,78.148.138.58,6,2,1,2,1
290,Epicgenius,6,2,1,2,1
370,75.72.63.27,6,3,3,3,1
352,Jim.henderson,5,1,1,3,1
372,2601:447:4080:10:90FC:5CBF:C514:5114,5,3,3,3,1
215,Illegitimate Barrister,5,1,1,3,1
114,Hmains,4,1,1,3,1
375,173.49.70.97,4,3,3,3,1
376,Sullyss73,4,3,3,3,1
377,Antholor,4,3,3,3,1
71,Cydebot,4,3,3,3,3
379,PaulinSaudi,4,1,1,3,1
275,Fayenatic london,4,2,1,3,1
121,Rjensen,302,1,1,1,1
130,SunCrow,61,3,1,3,1
122,Settler,42,1,1,3,1
384,65.82.182.239,37,3,3,3,1
385,AnonMoos,32,3,3,3,1
90,ClueBot NG,26,3,3,3,3
387,SchutteGod,20,3,3,3,3
388,William M. Connolley,18,3,3,3,1
131,North Shoreman,18,1,1,3,1
390,Citizenposse,15,3,3,3,3
391,71.214.227.140,13,3,3,3,2
392,Wow,13,3,3,3,3
215,Illegitimate Barrister,13,1,1,3,1
69,Srich32977,13,3,3,3,1
395,71.106.227.60,12,3,3,3,2
396,Mayor of awesometown,12,3,3,3,1
397,Tvtonightokc,12,3,3,3,1
398,Dmmiller23,12,3,3,3,1
399,169.234.216.238,11,3,3,3,1
400,70.181.184.7,11,3,1,3,1
401,Hank chapot,76,1,1,3,1
402,Chrishmt0423,25,3,3,3,1
71,Cydebot,10,3,3,3,3
404,GKoskovich,9,1,1,1,1
405,99.101.141.16,8,3,3,3,1
16,67.101.149.249,7,3,3,3,2
407,InternetArchiveBot,6,3,3,3,3
408,DavidIvar,6,3,3,3,1
54,GreenC bot,5,3,3,3,3
410,John from Idegon,5,1,1,3,1
411,68.164.171.135,5,3,1,3,1
412,76.254.50.174,5,3,1,3,2
413,76.254.53.90,5,3,3,3,2
414,SantiLak,4,1,1,3,1
415,Ohconfucius,4,3,3,3,1
416,67.101.46.106,4,3,3,3,2
77,AnomieBOT,4,3,3,3,3
418,76.254.50.238,4,3,3,3,2
419,76.254.53.160,4,3,3,3,2
420,99.101.143.232,4,3,1,3,1
421,Higher Ground 1,8,3,3,3,1
422,Jstanley01,7,3,1,3,3
423,2600:1700:6C0:4C00:386C:4E84:15D4:FCC1,6,3,3,3,2
16,InternetArchiveBot,6,3,3,3,3
90,ClueBot NG,5,3,3,3,3
426,Ninetyone,4,3,1,3,1
114,Hmains,4,1,1,3,1
428,2601:240:CF82:C670:8827:2C4F:5023:E5F2,3,3,3,3,2
121,Rjensen,3,1,1,1,1
430,XChubbyGamerxxx,3,3,3,3,2
71,Cydebot,3,3,3,3,3
432,Donner60,3,1,1,3,1
433,TimothyBlue,3,1,1,3,1
434,SmackBot,2,3,3,3,3
435,Magnolia677,2,3,3,3,1
275,Fayenatic london,2,2,1,3,1
437,24.227.254.57,2,3,3,3,2
438,Flooded with them hundreds,2,3,3,3,3
439,50.5.89.128,2,3,3,3,1
356,Magic links bot,2,3,3,3,3
